1687851049452|155|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687851695006|156|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687851791061|161|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687852008781|261|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '999787991040', '桌子', 222, 1212, '大桌子', 0 )
1687852008972|136|rollback|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852015632|205|statement|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '1029357834240', '桌子', 222, 1212, '大桌子', 0 )
1687852015731|97|rollback|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852049831|179|statement|connection 4|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '1172907888640', '桌子', 222, 1212, '大桌子', 0 )
1687852049934|102|rollback|connection 4|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852089871|103|statement|connection 5|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852137591|179|statement|connection 6|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
